loss,accuracy,val_loss,val_accuracy,lr
0.5177345871925354,0.7706576585769653,0.9277142286300659,0.6356589198112488,0.001
0.3597958981990814,0.8381112813949585,0.5740469694137573,0.7906976938247681,0.001
0.3057599365711212,0.8768971562385559,0.20317228138446808,0.9379844665527344,0.001
0.2209865003824234,0.9139966368675232,0.20511166751384735,0.9147287011146545,0.001
0.1986023187637329,0.9241146445274353,0.23142825067043304,0.9147287011146545,0.001
0.15748512744903564,0.9443507790565491,0.20665805041790009,0.9379844665527344,0.001
0.13729216158390045,0.9494097828865051,0.12489242106676102,0.9379844665527344,0.001
0.12258199602365494,0.9629005193710327,0.11517541855573654,0.9689922332763672,0.001
0.11948251724243164,0.959527850151062,0.10672871023416519,0.961240291595459,0.001
0.06533703207969666,0.9780775904655457,0.02905964106321335,0.9922480583190918,0.001
0.05898160859942436,0.9763912558555603,0.23412814736366272,0.8992248177528381,0.001
0.06539801508188248,0.9831365942955017,0.027939800173044205,0.9922480583190918,0.001
0.04113160818815231,0.9881955981254578,0.03425309434533119,0.9922480583190918,0.001
0.030002642422914505,0.9915682673454285,0.0350109227001667,0.9844961166381836,0.001
0.08126086741685867,0.9679595232009888,0.10663967579603195,0.961240291595459,0.001
0.09255941212177277,0.9679595232009888,0.06267524510622025,0.9767441749572754,0.001
0.04296126961708069,0.9865092635154724,0.008637959137558937,1.0,0.001
0.02024981752038002,0.9983136653900146,0.0075403363443911076,1.0,0.001
0.031400904059410095,0.9881955981254578,0.014952143654227257,1.0,0.001
0.048930659890174866,0.9881955981254578,0.020949220284819603,0.9922480583190918,0.001
0.026101509109139442,0.994940996170044,0.03018346056342125,0.9922480583190918,0.001
0.04765499383211136,0.9915682673454285,0.07158546894788742,0.9767441749572754,0.001
0.07033352553844452,0.9747048616409302,0.0424022413790226,0.9767441749572754,0.001
0.031143011525273323,0.9881955981254578,0.010841073468327522,1.0,0.001
0.023542895913124084,0.9966273307800293,0.004816573113203049,1.0,0.001
0.015818163752555847,0.9932546615600586,0.007014898583292961,1.0,0.001
0.008257649838924408,0.9983136653900146,0.052416376769542694,0.9767441749572754,0.001
0.007779539562761784,0.9983136653900146,0.006936484016478062,1.0,0.001
0.04856066405773163,0.9831365942955017,0.005186762660741806,1.0,0.001
0.07205480337142944,0.9713321924209595,0.10217557847499847,0.9689922332763672,0.001
0.032436057925224304,0.9915682673454285,0.005811640992760658,1.0,0.001
0.05687352269887924,0.9814502596855164,0.013675063848495483,1.0,0.001
0.015401910990476608,0.9966273307800293,0.01515670120716095,0.9922480583190918,0.001
0.00956862885504961,0.9983136653900146,0.018089542165398598,0.9922480583190918,0.001
0.05026105418801308,0.9831365942955017,0.04838809370994568,0.9922480583190918,0.001
0.026600772514939308,0.9932546615600586,0.023380674421787262,1.0,0.001
0.007511364761739969,1.0,0.0023524705320596695,1.0,0.001
0.006774639245122671,1.0,0.0034357067197561264,1.0,0.001
0.005552277434617281,1.0,0.0014222076861187816,1.0,0.001
0.006621089298278093,0.9983136653900146,0.0013165547279641032,1.0,0.001
0.007463321089744568,0.9966273307800293,0.0007762119639664888,1.0,0.001
0.016103511676192284,0.994940996170044,0.004487868398427963,1.0,0.001
0.004131470341235399,1.0,0.0020625742617994547,1.0,0.001
0.012174496427178383,0.9966273307800293,0.2795170545578003,0.930232584476471,0.001
0.01067416649311781,0.9966273307800293,0.11431585252285004,0.9457364082336426,0.001
0.015573223121464252,0.9932546615600586,0.224946066737175,0.8837209343910217,0.001
0.028607139363884926,0.9932546615600586,0.06255041807889938,0.9767441749572754,0.001
0.02411993220448494,0.9915682673454285,0.008568217977881432,1.0,0.001
0.03798133134841919,0.9898819327354431,0.049924880266189575,0.9844961166381836,0.001
0.06330785155296326,0.979763925075531,0.04786967113614082,0.9922480583190918,0.001
0.019655009731650352,0.9915682673454285,0.011097684502601624,1.0,0.001
0.006616179831326008,1.0,0.004839831963181496,1.0,0.001
0.008723796345293522,0.994940996170044,0.006230460945516825,1.0,0.001
0.0026638121344149113,1.0,0.0005072163767181337,1.0,0.001
0.001327869133092463,1.0,0.0005848747096024454,1.0,0.001
0.0009699022630229592,1.0,0.00035241039586253464,1.0,0.001
0.0022624325938522816,1.0,0.0002400349039817229,1.0,0.001
0.02044486813247204,0.9932546615600586,1.1225074529647827,0.7751938104629517,0.001
0.015505412593483925,0.9983136653900146,0.11649608612060547,0.9457364082336426,0.001
0.008334249258041382,0.9983136653900146,0.002996305236592889,1.0,0.001
0.047471754252910614,0.9865092635154724,0.02580641210079193,0.9767441749572754,0.001
0.020703159272670746,0.9932546615600586,0.0025239780079573393,1.0,0.001
0.005481021013110876,1.0,0.019264796748757362,0.9922480583190918,0.001
0.005556260235607624,0.9983136653900146,0.0005235651042312384,1.0,0.001
0.006268281955271959,0.9983136653900146,0.0027184453792870045,1.0,0.001
0.003655077889561653,0.9983136653900146,0.0011309732217341661,1.0,0.001
0.007114354055374861,0.9983136653900146,0.005570005159825087,1.0,0.001
0.010058894753456116,0.994940996170044,0.03373168408870697,0.9844961166381836,0.001
0.0044470541179180145,1.0,0.0013910311972722411,1.0,0.001
0.0025304171722382307,1.0,0.0005857333308085799,1.0,0.001
0.004562597256153822,0.9983136653900146,0.0068917530588805676,1.0,0.001
0.014308083802461624,0.9932546615600586,0.037327367812395096,0.9922480583190918,0.001
0.03357728198170662,0.9898819327354431,0.014502105303108692,0.9922480583190918,0.001
0.016124654561281204,0.9966273307800293,0.00490595493465662,1.0,0.001
0.008774827234447002,0.994940996170044,0.00210817763581872,1.0,0.001
