loss,accuracy,lr
0.5934460759162903,0.7013888955116272,0.001
0.05994751676917076,1.0,0.001
0.019560297951102257,0.9965277910232544,0.001
0.01848476752638817,0.9930555820465088,0.001
0.00681887986138463,1.0,0.001
0.009407644160091877,1.0,0.001
0.0024493392556905746,1.0,0.001
0.0017740989569574594,1.0,0.001
0.0014992622891440988,1.0,0.001
0.001314485794864595,1.0,0.001
0.001557696028612554,1.0,0.001
0.0013019333127886057,1.0,0.001
0.0012464557075873017,1.0,0.001
0.0008207347709685564,1.0,0.001
0.0009241386433131993,1.0,0.001
0.0008474878850392997,1.0,0.001
0.0007531601586379111,1.0,0.001
0.0007124764379113913,1.0,0.001
0.0006418789271265268,1.0,0.001
0.000983541365712881,1.0,0.001
0.0007737213745713234,1.0,0.001
0.0007337424904108047,1.0,0.001
0.0005312350112944841,1.0,0.001
0.0005289792316034436,1.0,0.001
0.0005719966720789671,1.0,0.001
0.0004514336178544909,1.0,0.001
0.0004892612341791391,1.0,0.001
0.00044142839033156633,1.0,0.001
0.0004639732069335878,1.0,0.001
0.00042715860763564706,1.0,0.001
0.0004927898407913744,1.0,0.001
0.000382606202038005,1.0,0.001
0.00040799062117002904,1.0,0.001
0.00034364135353825986,1.0,0.001
0.00033023013384081423,1.0,0.001
0.00046068604569882154,1.0,0.001
0.0007012684363871813,1.0,0.001
0.00039204242057166994,1.0,0.001
0.00032558292150497437,1.0,0.001
0.00046878468128852546,1.0,0.001
0.0003305725986137986,1.0,0.001
0.0004476203757803887,1.0,0.001
0.0003079855814576149,1.0,0.001
0.0003088036901317537,1.0,0.001
0.00033226230880245566,1.0,0.001
0.00024680374190211296,1.0,0.001
0.00026617510593496263,1.0,0.001
0.00025029756943695247,1.0,0.001
0.00023253049585036933,1.0,0.001
0.00023217628768179566,1.0,0.001
0.0004271839570719749,1.0,0.001
0.00027743077953346074,1.0,0.001
0.0003735795326065272,1.0,0.001
0.0002064185682684183,1.0,0.001
0.00027097281417809427,1.0,0.001
0.00024684719392098486,1.0,0.001
0.0002519394038245082,1.0,0.001
0.00025240040849894285,1.0,0.001
0.00021290914446581155,1.0,0.001
0.00020227959612384439,1.0,0.001
0.00019122396770399064,1.0,0.001
0.00023425706604029983,1.0,0.001
0.00017473648767918348,1.0,0.001
0.00016580551164224744,1.0,0.001
0.00022565250401385128,1.0,0.001
0.00016829607193358243,1.0,0.001
0.00017229479271918535,1.0,0.001
0.00021662446670234203,1.0,0.001
0.00023405178217217326,1.0,0.001
0.000433551671449095,1.0,0.001
0.00014910308527760208,1.0,0.001
0.00016262086865026504,1.0,0.001
0.00015866314060986042,1.0,0.001
0.00019302015425637364,1.0,0.001
0.0001686985051492229,1.0,0.001
0.00014421978266909719,1.0,0.001
0.00015351205365732312,1.0,0.001
0.00018409320909995586,1.0,0.001
0.0002494392392691225,1.0,0.001
0.00013779583969153464,1.0,0.001
0.00016974206664599478,1.0,0.001
0.00018878199625760317,1.0,0.001
0.0001236695534316823,1.0,0.001
0.00016359561413992196,1.0,0.001
0.00027248437982052565,1.0,0.001
0.00017817284970078617,1.0,0.001
0.00014203267346601933,1.0,0.001
0.00013529806165024638,1.0,0.001
0.00040117805474437773,1.0,0.001
0.00015313478070311248,1.0,0.001
0.0001398211607011035,1.0,0.001
0.00014025441487319767,1.0,0.001
0.0001402964990120381,1.0,0.001
0.00012174195580882952,1.0,0.001
0.00013906373351346701,1.0,0.001
0.0001325001212535426,1.0,0.001
0.00010836969158845022,1.0,0.001
0.0001175859069917351,1.0,0.001
0.0001068350684363395,1.0,0.001
0.00011316720338072628,1.0,0.001
0.00010797895811265334,1.0,0.001
0.00010867789387702942,1.0,0.001
0.00011056949733756483,1.0,0.001
0.000129948923131451,1.0,0.001
0.0001305154146393761,1.0,0.0005
0.00010960696818074211,1.0,0.0005
0.00014893848856445402,1.0,0.0005
0.00013178688823245466,1.0,0.0005
9.201300417771563e-05,1.0,0.0005
0.00010676758392946795,1.0,0.0005
0.00011542484571691602,1.0,0.0005
0.00010206299339188263,1.0,0.0005
0.00010143803956452757,1.0,0.0005
8.434972551185638e-05,1.0,0.0005
8.854502812027931e-05,1.0,0.0005
9.850268543232232e-05,1.0,0.0005
8.440995588898659e-05,1.0,0.0005
0.00013433746062219143,1.0,0.0005
0.0001664025621721521,1.0,0.0005
8.901508408598602e-05,1.0,0.0005
0.00012073577818227932,1.0,0.0005
9.771270561031997e-05,1.0,0.0005
7.918453775346279e-05,1.0,0.0005
8.138216799125075e-05,1.0,0.0005
9.258146747015417e-05,1.0,0.0005
9.562703780829906e-05,1.0,0.0005
7.955103501444682e-05,1.0,0.0005
9.185590170091018e-05,1.0,0.0005
9.136540029430762e-05,1.0,0.0005
0.00028203113470226526,1.0,0.0005
8.534263906767592e-05,1.0,0.0005
0.00011495441140141338,1.0,0.0005
9.326489816885442e-05,1.0,0.0005
0.00014395602920558304,1.0,0.0005
8.457567309960723e-05,1.0,0.0005
0.00010858251334866509,1.0,0.0005
9.824262815527618e-05,1.0,0.0005
0.00011250905663473532,1.0,0.0005
7.822587213013321e-05,1.0,0.0005
0.00012727660941891372,1.0,0.0005
0.00011747420649044216,1.0,0.0005
9.323432459495962e-05,1.0,0.0005
8.12663056422025e-05,1.0,0.0005
7.213203207356855e-05,1.0,0.0005
7.658095273654908e-05,1.0,0.0005
9.175535524263978e-05,1.0,0.0005
7.111030572559685e-05,1.0,0.0005
0.00010207007289864123,1.0,0.0005
7.095180626492947e-05,1.0,0.0005
0.00010636702791089192,1.0,0.0005
7.636196096427739e-05,1.0,0.0005
0.00010298807319486514,1.0,0.0005
6.543609197251499e-05,1.0,0.0005
8.125430758809671e-05,1.0,0.0005
0.00010694717639125884,1.0,0.0005
8.409661677433178e-05,1.0,0.0005
7.267476030392572e-05,1.0,0.0005
7.708070916123688e-05,1.0,0.0005
7.348991493927315e-05,1.0,0.0005
7.603675476275384e-05,1.0,0.00025
8.591191726736724e-05,1.0,0.00025
6.67166241328232e-05,1.0,0.00025
0.0001077739434549585,1.0,0.00025
7.491584256058559e-05,1.0,0.00025
8.501627598889172e-05,1.0,0.00025
6.29457354079932e-05,1.0,0.00025
8.15406529000029e-05,1.0,0.00025
8.829382568364963e-05,1.0,0.00025
7.766488124616444e-05,1.0,0.00025
8.659857121529058e-05,1.0,0.00025
7.843052298994735e-05,1.0,0.00025
7.261498103616759e-05,1.0,0.00025
5.7409750297665596e-05,1.0,0.00025
6.020711225573905e-05,1.0,0.00025
6.001623114570975e-05,1.0,0.00025
6.022153684170917e-05,1.0,0.00025
6.980788020882756e-05,1.0,0.00025
6.155375012895092e-05,1.0,0.00025
7.255885429913178e-05,1.0,0.00025
6.91973909852095e-05,1.0,0.00025
0.00011572449875529855,1.0,0.00025
6.010150536894798e-05,1.0,0.00025
8.204876212403178e-05,1.0,0.00025
6.983971252338961e-05,1.0,0.00025
5.876705108676106e-05,1.0,0.00025
9.37895747483708e-05,1.0,0.00025
7.208127499325201e-05,1.0,0.00025
6.097356526879594e-05,1.0,0.00025
8.184346370398998e-05,1.0,0.00025
6.131280679255724e-05,1.0,0.00025
5.709874676540494e-05,1.0,0.00025
9.545321518089622e-05,1.0,0.00025
5.600701115326956e-05,1.0,0.00025
8.58441781019792e-05,1.0,0.00025
7.98175751697272e-05,1.0,0.00025
8.403769606957212e-05,1.0,0.00025
5.917502858210355e-05,1.0,0.00025
6.366300658555701e-05,1.0,0.00025
8.021813118830323e-05,1.0,0.00025
7.653740613022819e-05,1.0,0.00025
5.334037996362895e-05,1.0,0.00025
5.348230843083002e-05,1.0,0.00025
5.487051384989172e-05,1.0,0.00025
0.0001374385174131021,1.0,0.00025
6.149095861474052e-05,1.0,0.00025
5.577918636845425e-05,1.0,0.00025
6.353343633236364e-05,1.0,0.00025
5.421821333584376e-05,1.0,0.00025
6.799446418881416e-05,1.0,0.00025
6.940041930647567e-05,1.0,0.000125
6.06777030043304e-05,1.0,0.000125
7.267190812854096e-05,1.0,0.000125
5.698310269508511e-05,1.0,0.000125
9.178475011140108e-05,1.0,0.000125
6.222710362635553e-05,1.0,0.000125
5.586901897913776e-05,1.0,0.000125
7.12141627445817e-05,1.0,0.000125
5.916248119319789e-05,1.0,0.000125
5.9065092500532046e-05,1.0,0.000125
7.103489042492583e-05,1.0,0.000125
7.400454342132434e-05,1.0,0.000125
7.619318785145879e-05,1.0,0.000125
0.00017079157987609506,1.0,0.000125
5.56363957002759e-05,1.0,0.000125
6.421961006708443e-05,1.0,0.000125
5.5635562603129074e-05,1.0,0.000125
7.022649515420198e-05,1.0,0.000125
6.020781074767001e-05,1.0,0.000125
6.877809209981933e-05,1.0,0.000125
7.236212695715949e-05,1.0,0.000125
6.899688014527783e-05,1.0,0.000125
5.35847939318046e-05,1.0,0.000125
6.248577847145498e-05,1.0,0.000125
6.374229997163638e-05,1.0,0.000125
6.325711729004979e-05,1.0,0.000125
6.452776142396033e-05,1.0,0.000125
5.424155460787006e-05,1.0,0.000125
6.529473466798663e-05,1.0,0.000125
5.8969475503545254e-05,1.0,0.000125
6.440214201575145e-05,1.0,0.000125
5.647891157423146e-05,1.0,0.000125
5.738851905334741e-05,1.0,0.000125
0.00017309853865299374,1.0,0.000125
6.90313900122419e-05,1.0,0.000125
8.066670852713287e-05,1.0,0.000125
5.620138472295366e-05,1.0,0.000125
5.989629789837636e-05,1.0,0.000125
5.061566844233312e-05,1.0,0.000125
5.6265103921759874e-05,1.0,0.000125
5.400644295150414e-05,1.0,0.000125
5.8478610299061984e-05,1.0,0.000125
4.8790869186632335e-05,1.0,0.000125
8.404121763305739e-05,1.0,0.000125
5.279537072055973e-05,1.0,0.000125
6.212865264387801e-05,1.0,0.000125
6.35133110336028e-05,1.0,0.000125
5.516848978004418e-05,1.0,0.000125
5.1197977882111445e-05,1.0,0.000125
8.421055099461228e-05,1.0,0.000125
5.159226930118166e-05,1.0,1e-04
5.632855754811317e-05,1.0,1e-04
6.718786607962102e-05,1.0,1e-04
5.355413304641843e-05,1.0,1e-04
6.505593046313152e-05,1.0,1e-04
8.703673665877432e-05,1.0,1e-04
7.600739627378061e-05,1.0,1e-04
6.150081753730774e-05,1.0,1e-04
5.310820779413916e-05,1.0,1e-04
6.305120041361079e-05,1.0,1e-04
7.88414035923779e-05,1.0,1e-04
5.576568219112232e-05,1.0,1e-04
5.6110879086190835e-05,1.0,1e-04
6.234471220523119e-05,1.0,1e-04
4.984955376130529e-05,1.0,1e-04
5.198793223826215e-05,1.0,1e-04
6.619482883252203e-05,1.0,1e-04
6.472677341662347e-05,1.0,1e-04
6.431063957279548e-05,1.0,1e-04
6.131021655164659e-05,1.0,1e-04
4.892494325758889e-05,1.0,1e-04
5.0174305215477943e-05,1.0,1e-04
5.389056241256185e-05,1.0,1e-04
5.255665382719599e-05,1.0,1e-04
8.975789387477562e-05,1.0,1e-04
5.500094994204119e-05,1.0,1e-04
6.877765554236248e-05,1.0,1e-04
5.3661151468986645e-05,1.0,1e-04
6.193116860231385e-05,1.0,1e-04
7.697593537159264e-05,1.0,1e-04
6.920182204339653e-05,1.0,1e-04
4.619408355210908e-05,1.0,1e-04
5.442732071969658e-05,1.0,1e-04
4.6419685531873256e-05,1.0,1e-04
4.672465365729295e-05,1.0,1e-04
4.6228826249716803e-05,1.0,1e-04
5.6761633459245786e-05,1.0,1e-04
5.058191527496092e-05,1.0,1e-04
4.7468805860262364e-05,1.0,1e-04
5.885780046810396e-05,1.0,1e-04
5.389779107645154e-05,1.0,1e-04
6.335887155728415e-05,1.0,1e-04
5.94716148043517e-05,1.0,1e-04
5.729554686695337e-05,1.0,1e-04
5.321188291418366e-05,1.0,1e-04
6.393174408003688e-05,1.0,1e-04
7.942412048578262e-05,1.0,1e-04
6.516912253573537e-05,1.0,1e-04
4.820343747269362e-05,1.0,1e-04
7.189361349446699e-05,1.0,1e-04
6.344781286315992e-05,1.0,1e-04
6.691895396215841e-05,1.0,1e-04
5.803127714898437e-05,1.0,1e-04
5.6410131946904585e-05,1.0,1e-04
6.378383841365576e-05,1.0,1e-04
4.554257247946225e-05,1.0,1e-04
5.716690793633461e-05,1.0,1e-04
5.701729969587177e-05,1.0,1e-04
7.332742097787559e-05,1.0,1e-04
6.938587466720492e-05,1.0,1e-04
6.478387513197958e-05,1.0,1e-04
4.6781271521467716e-05,1.0,1e-04
5.434337072074413e-05,1.0,1e-04
5.198372673476115e-05,1.0,1e-04
4.596392682287842e-05,1.0,1e-04
6.945415225345641e-05,1.0,1e-04
5.166405389900319e-05,1.0,1e-04
7.065166573738679e-05,1.0,1e-04
4.622760752681643e-05,1.0,1e-04
4.514314787229523e-05,1.0,1e-04
0.00013287909678183496,1.0,1e-04
4.671166243497282e-05,1.0,1e-04
4.34445719292853e-05,1.0,1e-04
4.864741276833229e-05,1.0,1e-04
5.132055594003759e-05,1.0,1e-04
5.222459731157869e-05,1.0,1e-04
6.144555663922802e-05,1.0,1e-04
6.800310802645981e-05,1.0,1e-04
7.078226190060377e-05,1.0,1e-04
5.6920074712252244e-05,1.0,1e-04
5.7947512686951086e-05,1.0,1e-04
6.366155866999179e-05,1.0,1e-04
4.871176497545093e-05,1.0,1e-04
4.1556009819032624e-05,1.0,1e-04
4.3356430978747085e-05,1.0,1e-04
4.988269574823789e-05,1.0,1e-04
4.693604932981543e-05,1.0,1e-04
5.465959839057177e-05,1.0,1e-04
4.449790867511183e-05,1.0,1e-04
4.184405770502053e-05,1.0,1e-04
4.230598278809339e-05,1.0,1e-04
7.299434946617112e-05,1.0,1e-04
6.46165935904719e-05,1.0,1e-04
4.8093192162923515e-05,1.0,1e-04
5.3821844630874693e-05,1.0,1e-04
6.226600089576095e-05,1.0,1e-04
4.481722498894669e-05,1.0,1e-04
5.614140536636114e-05,1.0,1e-04
7.38648886908777e-05,1.0,1e-04
4.690968489740044e-05,1.0,1e-04
4.196654845145531e-05,1.0,1e-04
4.360178718343377e-05,1.0,1e-04
5.0134363846154884e-05,1.0,1e-04
6.082304025767371e-05,1.0,1e-04
4.9581089115235955e-05,1.0,1e-04
4.902540968032554e-05,1.0,1e-04
4.6611487050540745e-05,1.0,1e-04
4.317505954531953e-05,1.0,1e-04
5.9815545682795346e-05,1.0,1e-04
4.300987347960472e-05,1.0,1e-04
4.189827450318262e-05,1.0,1e-04
