loss,accuracy,lr
0.00011449302837718278,1.0,0.001
0.00016009347746148705,1.0,0.001
9.673488966654986e-05,1.0,0.001
9.635272726882249e-05,1.0,0.001
0.00013635559298563749,1.0,0.001
0.00011161574366269633,1.0,0.001
9.692613093648106e-05,1.0,0.001
0.00015629775589331985,1.0,0.001
8.452659676549956e-05,1.0,0.001
0.0001407280215062201,1.0,0.001
0.0003404534072615206,1.0,0.001
0.00031562044750899076,1.0,0.001
9.18728910619393e-05,1.0,0.001
7.821561302989721e-05,1.0,0.001
0.00010141998063772917,1.0,0.001
9.20338134164922e-05,1.0,0.001
0.00018064722826238722,1.0,0.001
0.0001928584388224408,1.0,0.001
0.00010464314254932106,1.0,0.001
0.00030670769046992064,1.0,0.001
7.509675924666226e-05,1.0,0.001
0.00010256475798087195,1.0,0.001
0.00012857549882028252,1.0,0.001
7.610143074998632e-05,1.0,0.001
9.4346993137151e-05,1.0,0.001
8.828715363051742e-05,1.0,0.001
9.334057540399954e-05,1.0,0.001
0.00017470875172875822,1.0,0.001
6.136026058811694e-05,1.0,0.001
0.00010162244143430144,1.0,0.001
8.872117905411869e-05,1.0,0.001
0.00010217032104264945,1.0,0.001
5.8867462939815596e-05,1.0,0.001
0.00010196333460044116,1.0,0.001
5.916526788496412e-05,1.0,0.001
8.207419159589335e-05,1.0,0.001
9.72434863797389e-05,1.0,0.001
6.812344508944079e-05,1.0,0.001
5.641902316710912e-05,1.0,0.001
6.775512883905321e-05,1.0,0.001
0.0002373873721808195,1.0,0.001
5.5499836889794096e-05,1.0,0.001
7.585406274301931e-05,1.0,0.001
9.106030483962968e-05,1.0,0.001
9.696814959170297e-05,1.0,0.001
9.193446021527052e-05,1.0,0.001
0.000159003961016424,1.0,0.001
5.2235322073102e-05,1.0,0.001
4.64294535049703e-05,1.0,0.001
0.00012034173414576799,1.0,0.001
4.838814857066609e-05,1.0,0.001
0.00013317471893969923,1.0,0.001
6.307390867732465e-05,1.0,0.001
0.00013590742310043424,1.0,0.001
4.480297866393812e-05,1.0,0.001
8.599681314080954e-05,1.0,0.001
8.457162039121613e-05,1.0,0.001
6.0411650338210166e-05,1.0,0.001
7.798532897140831e-05,1.0,0.001
4.788029764313251e-05,1.0,0.001
9.269422298530117e-05,1.0,0.001
0.00012098418665118515,1.0,0.001
6.094937270972878e-05,1.0,0.001
4.8335405153920874e-05,1.0,0.001
7.006792293395847e-05,1.0,0.001
8.754348527872935e-05,1.0,0.001
0.00010603200644254684,1.0,0.001
0.0003952766419388354,1.0,0.001
4.6566892706323415e-05,1.0,0.001
0.0001046949255396612,1.0,0.001
9.06256100279279e-05,1.0,0.001
7.337376882787794e-05,1.0,0.001
0.00013003811181988567,1.0,0.001
4.834379433305003e-05,1.0,0.001
4.562524554785341e-05,1.0,0.001
0.00042251127888448536,1.0,0.001
4.424822691362351e-05,1.0,0.001
4.966358756064437e-05,1.0,0.001
8.740888733882457e-05,1.0,0.001
6.96439019520767e-05,1.0,0.001
0.00011521553824422881,1.0,0.001
4.232642095303163e-05,1.0,0.001
4.71101920993533e-05,1.0,0.001
4.2788309656316414e-05,1.0,0.0005
5.2978284657001495e-05,1.0,0.0005
5.074083310319111e-05,1.0,0.0005
4.26493315899279e-05,1.0,0.0005
5.508650792762637e-05,1.0,0.0005
5.0140766688855365e-05,1.0,0.0005
7.602573896292597e-05,1.0,0.0005
4.258443004800938e-05,1.0,0.0005
6.403539737220854e-05,1.0,0.0005
3.569425825844519e-05,1.0,0.0005
5.070167753729038e-05,1.0,0.0005
0.00010873897554120049,1.0,0.0005
3.836683026747778e-05,1.0,0.0005
3.0524650355800986e-05,1.0,0.0005
3.855252725770697e-05,1.0,0.0005
3.431885124882683e-05,1.0,0.0005
6.743751146132126e-05,1.0,0.0005
4.112900933250785e-05,1.0,0.0005
6.746073631802574e-05,1.0,0.0005
6.418451812351122e-05,1.0,0.0005
0.00013853443670086563,1.0,0.0005
0.00013283088628668338,1.0,0.0005
7.95748273958452e-05,1.0,0.0005
0.0001513426541350782,1.0,0.0005
3.631899744505063e-05,1.0,0.0005
4.028956391266547e-05,1.0,0.0005
6.108565139584243e-05,1.0,0.0005
5.116254760650918e-05,1.0,0.0005
4.5667195081477985e-05,1.0,0.0005
3.304491474409588e-05,1.0,0.0005
4.020055348519236e-05,1.0,0.0005
4.618964157998562e-05,1.0,0.0005
3.666652264655568e-05,1.0,0.0005
3.067821671720594e-05,1.0,0.0005
4.832552804145962e-05,1.0,0.0005
5.4130628996063024e-05,1.0,0.0005
4.378475568955764e-05,1.0,0.0005
2.742605283856392e-05,1.0,0.0005
4.350538438302465e-05,1.0,0.0005
3.27089182974305e-05,1.0,0.0005
4.2354960896773264e-05,1.0,0.0005
8.196015551220626e-05,1.0,0.0005
6.0350706917233765e-05,1.0,0.0005
3.363032010383904e-05,1.0,0.0005
4.0726874431129545e-05,1.0,0.0005
2.6548592359176837e-05,1.0,0.0005
4.9992635467788205e-05,1.0,0.0005
2.7398886231821962e-05,1.0,0.0005
9.83911013463512e-05,1.0,0.0005
2.7367794245947152e-05,1.0,0.0005
4.592476398102008e-05,1.0,0.00025
4.382188490126282e-05,1.0,0.00025
2.6530053219175898e-05,1.0,0.00025
0.00010773187386803329,1.0,0.00025
3.23131462209858e-05,1.0,0.00025
4.4839973270427436e-05,1.0,0.00025
2.503006544429809e-05,1.0,0.00025
2.9294746127561666e-05,1.0,0.00025
4.8038964450825006e-05,1.0,0.00025
2.8710310289170593e-05,1.0,0.00025
9.165304072666913e-05,1.0,0.00025
4.249823177815415e-05,1.0,0.00025
3.583608486223966e-05,1.0,0.00025
5.1856815844075754e-05,1.0,0.00025
2.8912687412230298e-05,1.0,0.00025
3.94885428249836e-05,1.0,0.00025
2.774581480480265e-05,1.0,0.00025
3.8839414628455415e-05,1.0,0.00025
7.080288924043998e-05,1.0,0.00025
3.083539559156634e-05,1.0,0.00025
9.325260180048645e-05,1.0,0.00025
2.839413173205685e-05,1.0,0.00025
3.462551103439182e-05,1.0,0.00025
5.000302553526126e-05,1.0,0.00025
0.03634567931294441,0.9833333492279053,0.00025
0.06232606992125511,0.9888888597488403,0.00025
0.038176942616701126,0.9833333492279053,0.00025
0.038905542343854904,0.9888888597488403,0.00025
0.04735304415225983,0.9888888597488403,0.00025
0.026094548404216766,0.9944444298744202,0.00025
0.007325398735702038,1.0,0.00025
0.003316223621368408,1.0,0.00025
0.0026605790480971336,1.0,0.00025
0.0024883663281798363,1.0,0.00025
0.0022199610248208046,1.0,0.00025
0.001671473030000925,1.0,0.00025
0.001436247257515788,1.0,0.00025
0.0012427492765709758,1.0,0.00025
0.001120718545280397,1.0,0.00025
0.0015619355253875256,1.0,0.00025
0.0012239210773259401,1.0,0.00025
0.0011604325845837593,1.0,0.00025
0.0008567540789954364,1.0,0.00025
0.0010087740374729037,1.0,0.00025
0.0007051319698803127,1.0,0.00025
0.0005310670239850879,1.0,0.00025
0.002327454974874854,1.0,0.00025
0.0010474949376657605,1.0,0.00025
0.0005252513801679015,1.0,0.00025
0.0004052819567732513,1.0,0.00025
0.000526081828866154,1.0,0.000125
0.0008518336690030992,1.0,0.000125
0.00036509844358079135,1.0,0.000125
