loss,accuracy,val_loss,val_accuracy,lr
0.3005901277065277,0.9285714030265808,0.42872995138168335,0.96875,0.001
0.09207777678966522,0.9732142686843872,0.16083288192749023,0.9642857313156128,0.001
0.05534571781754494,0.9866071343421936,0.1202620416879654,0.9642857313156128,0.001
0.031674575060606,0.9955357313156128,0.10636725276708603,0.9642857313156128,0.001
0.021385284140706062,1.0,0.09290327876806259,0.9642857313156128,0.001
0.013686544261872768,1.0,0.08210231363773346,0.96875,0.001
0.00886197667568922,1.0,0.08014899492263794,0.96875,0.001
0.005885339807718992,1.0,0.08350769430398941,0.9732142686843872,0.001
0.005019436124712229,1.0,0.08351919800043106,0.9821428656578064,0.001
0.004003149922937155,1.0,0.07565335929393768,0.9821428656578064,0.001
0.0040378570556640625,1.0,0.06693471968173981,0.9866071343421936,0.001
0.0025561489164829254,1.0,0.05779561027884483,0.9910714030265808,0.001
0.0024232338182628155,1.0,0.05153728649020195,0.9910714030265808,0.001
0.001860126736573875,1.0,0.046973712742328644,0.9910714030265808,0.001
0.001718183746561408,1.0,0.04328672215342522,0.9910714030265808,0.001
0.0014948452590033412,1.0,0.03970528766512871,0.9910714030265808,0.001
0.001479174243286252,1.0,0.03629515692591667,0.9910714030265808,0.001
0.0014458190416917205,1.0,0.03291940316557884,0.9910714030265808,0.001
0.001229221117682755,1.0,0.029808683320879936,0.9910714030265808,0.001
0.0011187581112608314,1.0,0.026850443333387375,0.9955357313156128,0.001
0.0011259644525125623,1.0,0.02415822446346283,0.9955357313156128,0.001
0.0010735817486420274,1.0,0.021820014342665672,0.9955357313156128,0.001
0.0009501664317212999,1.0,0.01983332633972168,1.0,0.001
0.0012446735054254532,1.0,0.01788727007806301,1.0,0.001
0.0008486016886308789,1.0,0.01577618159353733,1.0,0.001
0.0008509751642122865,1.0,0.01393552590161562,1.0,0.001
0.0008818001369945705,1.0,0.012351946905255318,1.0,0.001
0.0007369891973212361,1.0,0.010950833559036255,1.0,0.001
0.0007420423207804561,1.0,0.009761149063706398,1.0,0.001
0.0007658689864911139,1.0,0.008704346604645252,1.0,0.001
0.0006603468209505081,1.0,0.007821827195584774,1.0,0.001
0.0007168202428147197,1.0,0.006982571445405483,1.0,0.001
0.0007096804911270738,1.0,0.0063371057622134686,1.0,0.001
0.0006015846156515181,1.0,0.005857804324477911,1.0,0.001
0.0006264530238695443,1.0,0.0053610168397426605,1.0,0.001
0.000584405439440161,1.0,0.004892302211374044,1.0,0.001
0.0005824050167575479,1.0,0.00442065205425024,1.0,0.001
0.0005378282512538135,1.0,0.003979782108217478,1.0,0.001
0.0005252461996860802,1.0,0.0035428316332399845,1.0,0.001
0.0005813093739561737,1.0,0.0031472626142203808,1.0,0.001
0.000500791531521827,1.0,0.002828976372256875,1.0,0.001
0.0005835135234519839,1.0,0.002556335413828492,1.0,0.001
0.0004414285358507186,1.0,0.0023440434597432613,1.0,0.001
0.0004328688664827496,1.0,0.0021412719506770372,1.0,0.001
0.00044941858504898846,1.0,0.0019393769325688481,1.0,0.001
0.0004596342332661152,1.0,0.0017656140262261033,1.0,0.001
0.0004957125056535006,1.0,0.0016005038050934672,1.0,0.001
0.0003873583336826414,1.0,0.0014589253114536405,1.0,0.001
0.00038818627945147455,1.0,0.0013404509518295527,1.0,0.001
0.0003877028648275882,1.0,0.0012342847185209394,1.0,0.001
0.0003611737920437008,1.0,0.0011553512886166573,1.0,0.001
0.00043388985795900226,1.0,0.0010709541384130716,1.0,0.001
0.00038645934546366334,1.0,0.0009921268792822957,1.0,0.001
0.0003348991449456662,1.0,0.0009124091593548656,1.0,0.001
0.0004020145279355347,1.0,0.0008385316468775272,1.0,0.001
0.00031800419674254954,1.0,0.0007629951578564942,1.0,0.001
0.0003251517773605883,1.0,0.0007044100784696639,1.0,0.001
