loss,accuracy,lr
1.4737576246261597,0.28333333134651184,0.001
1.281140923500061,0.46666666865348816,0.001
1.1619535684585571,0.6333333253860474,0.001
1.0463746786117554,0.699999988079071,0.001
0.9173892140388489,0.75,0.001
0.79441899061203,0.8333333134651184,0.001
0.695871889591217,0.800000011920929,0.001
0.628690779209137,0.8333333134651184,0.001
0.5594021081924438,0.8500000238418579,0.001
0.499646931886673,0.8500000238418579,0.001
0.4467660188674927,0.8666666746139526,0.001
0.40395843982696533,0.8999999761581421,0.001
0.3660506010055542,0.9166666865348816,0.001
0.34439241886138916,0.8999999761581421,0.001
0.32904574275016785,0.949999988079071,0.001
0.2836727797985077,0.949999988079071,0.001
0.26439499855041504,0.949999988079071,0.001
0.22582243382930756,0.9666666388511658,0.001
0.20887906849384308,0.9833333492279053,0.001
0.18890894949436188,1.0,0.001
0.16687676310539246,0.9833333492279053,0.001
0.15355993807315826,0.9833333492279053,0.001
0.1312008500099182,1.0,0.001
0.12330382317304611,1.0,0.001
0.1056203842163086,1.0,0.001
0.09403279423713684,1.0,0.001
0.08551621437072754,1.0,0.001
0.07447095215320587,1.0,0.001
0.06740787625312805,1.0,0.001
0.06051104515790939,1.0,0.001
0.05417356267571449,1.0,0.001
0.0482504703104496,1.0,0.001
0.04450134187936783,1.0,0.001
0.039337895810604095,1.0,0.001
0.035350218415260315,1.0,0.001
0.03264949843287468,1.0,0.001
0.02897397242486477,1.0,0.001
0.026778848841786385,1.0,0.001
0.024551808834075928,1.0,0.001
0.021886080503463745,1.0,0.001
0.02028193324804306,1.0,0.001
0.019017832353711128,1.0,0.001
0.017364736646413803,1.0,0.001
0.015965573489665985,1.0,0.001
0.014563078060746193,1.0,0.001
0.013741687871515751,1.0,0.001
0.01269147451967001,1.0,0.001
0.011836843565106392,1.0,0.001
0.01104526873677969,1.0,0.001
0.010340255685150623,1.0,0.001
0.009632604196667671,1.0,0.001
0.009150602854788303,1.0,0.001
0.008574060164391994,1.0,0.001
0.008085985668003559,1.0,0.001
0.007683807518333197,1.0,0.001
0.007294944487512112,1.0,0.001
0.00692658731713891,1.0,0.001
0.0066013396717607975,1.0,0.001
0.006274714600294828,1.0,0.001
0.005987994838505983,1.0,0.001
0.005741664674133062,1.0,0.001
0.005482774693518877,1.0,0.001
0.005240795202553272,1.0,0.001
0.00504378043115139,1.0,0.001
0.00486075459048152,1.0,0.001
0.004675460048019886,1.0,0.001
0.004504121374338865,1.0,0.001
0.004330723080784082,1.0,0.001
0.004193788859993219,1.0,0.001
0.004057750571519136,1.0,0.001
0.003922722302377224,1.0,0.001
0.003792057977989316,1.0,0.001
0.0036852185148745775,1.0,0.001
0.0035794952418655157,1.0,0.001
0.003470251802355051,1.0,0.001
0.003371089231222868,1.0,0.001
0.0032814769074320793,1.0,0.001
0.0031925933435559273,1.0,0.001
0.0031117114704102278,1.0,0.001
0.003033942077308893,1.0,0.001
0.002958473050966859,1.0,0.001
0.0028867130167782307,1.0,0.001
0.002818675246089697,1.0,0.001
0.002753955079242587,1.0,0.001
0.0026922873221337795,1.0,0.001
0.002634180011227727,1.0,0.001
0.0025770068168640137,1.0,0.001
0.0025215442292392254,1.0,0.001
0.0024697326589375734,1.0,0.001
0.002420230070129037,1.0,0.001
0.0023712883703410625,1.0,0.001
0.0023248353973031044,1.0,0.001
0.0022796080447733402,1.0,0.001
0.002236515050753951,1.0,0.001
0.0021956556010991335,1.0,0.001
0.002155919326469302,1.0,0.001
0.002116456627845764,1.0,0.001
0.0020786866080015898,1.0,0.001
0.002042877720668912,1.0,0.001
0.0020079307723790407,1.0,0.001
0.001973659498617053,1.0,0.001
