loss,accuracy,lr
0.0001817418960854411,1.0,0.001
0.00017939816461876035,1.0,0.001
0.00017709744861349463,1.0,0.001
0.00017483979172538966,1.0,0.001
0.00017264833149965852,1.0,0.001
0.00017049326561391354,1.0,0.001
0.0001683845475781709,1.0,0.001
0.000166348647326231,1.0,0.001
0.00016434915596619248,1.0,0.001
0.00016238604439422488,1.0,0.001
0.0001604659773875028,1.0,0.001
0.00015858892584219575,1.0,0.001
0.00015675160102546215,1.0,0.001
0.00015494736726395786,1.0,0.001
0.00015317951329052448,1.0,0.001
0.00015145138604566455,1.0,0.001
0.00014975636440794915,1.0,0.001
0.00014809113054070622,1.0,0.001
0.00014644904877059162,1.0,0.001
0.00014484340499620885,1.0,0.001
0.00014325759548228234,1.0,0.001
0.00014171813381835818,1.0,0.001
0.00014021176320966333,1.0,0.001
0.00013869548274669796,1.0,0.001
0.0001372420956613496,1.0,0.001
0.00013578208745457232,1.0,0.001
0.00013436839799396694,1.0,0.001
0.00013299446436576545,1.0,0.001
0.00013163377298042178,1.0,0.001
0.0001302796881645918,1.0,0.001
0.00012895539111923426,1.0,0.001
0.00012766089639626443,1.0,0.001
0.00012637303734663874,1.0,0.001
0.00012512158718891442,1.0,0.001
0.00012388336472213268,1.0,0.001
0.00012266171688679606,1.0,0.001
0.00012146322114858776,1.0,0.001
0.00012027467164443806,1.0,0.001
0.00011910927423741668,1.0,0.001
0.00011796045146184042,1.0,0.001
0.00011684803757816553,1.0,0.001
0.00011572900257306173,1.0,0.001
0.00011463644477771595,1.0,0.001
0.00011356043978594244,1.0,0.001
0.00011249767703702673,1.0,0.001
0.00011144152813358232,1.0,0.001
0.00011042180994991213,1.0,0.001
0.00010939876665361226,1.0,0.001
0.00010839889728231356,1.0,0.001
0.00010740564903244376,1.0,0.001
0.00010642564302543178,1.0,0.001
0.00010547212878009304,1.0,0.001
0.00010452853166498244,1.0,0.001
0.00010358494182582945,1.0,0.001
0.00010266782192047685,1.0,0.001
0.00010175403440371156,1.0,0.001
0.00010086342081194744,1.0,0.001
9.997609595302492e-05,1.0,0.001
9.911195957101882e-05,1.0,0.001
9.824451262829825e-05,1.0,0.0005
9.782733832253143e-05,1.0,0.0005
9.740686073200777e-05,1.0,0.0005
9.699298971099779e-05,1.0,0.0005
9.657582268118858e-05,1.0,0.0005
9.615865565137938e-05,1.0,0.0005
9.574148134561256e-05,1.0,0.0005
9.5340859843418e-05,1.0,0.0005
9.494024561718106e-05,1.0,0.0005
9.454625251237303e-05,1.0,0.0005
9.414894157089293e-05,1.0,0.0005
9.375494119012728e-05,1.0,0.0005
9.336094808531925e-05,1.0,0.0005
9.296364441979676e-05,1.0,0.0005
9.258950012736022e-05,1.0,0.0005
9.219881758326665e-05,1.0,0.0005
9.179819608107209e-05,1.0,0.0005
9.142737690126523e-05,1.0,0.0005
9.105655772145838e-05,1.0,0.0005
9.068904910236597e-05,1.0,0.0005
9.030828368850052e-05,1.0,0.0005
